memory_ratio,compress_ratio,miss_cost,load_dist,min_lat_pc_size,min_lat_pc_size_gb,min_lat,zero_ac_lat,zero_pc_lat,zero_ac_lat_to_min_lat,zero_pc_lat_to_min_lat,d_u,d_c
0.15,0.7,10,1,0.15,0.2143,248745751.0,248745751.0,363628404.0,1.0,1.4618477000638295,6.6667,4.6667
0.15,0.7,50,0,0.0,0.0,722157938.0,764704943.0,722157938.0,1.0589164817849028,1.0,6.6667,4.6667
0.15,0.7,50,1,0.15,0.2143,448745198.0,448745198.0,475088644.0,1.0,1.058704686127917,6.6667,4.6667
0.15,0.7,100,0,0.0,0.0,934712488.0,1014704917.0,934712488.0,1.0855797157168183,1.0,6.6667,4.6667
0.15,0.7,100,1,0.0,0.0,614413944.0,698744773.0,614413944.0,1.1372540936343072,1.0,6.6667,4.6667
0.15,0.75,10,0,0.0,0.0,554451006.0,575646550.0,554451006.0,1.038227983664259,1.0,6.6667,5.0
0.15,0.75,10,1,0.15,0.2,269665511.0,269665511.0,365162387.0,1.0,1.3541308476781815,6.6667,5.0
0.15,0.75,50,0,0.0,0.0,724494646.0,775646541.0,724494646.0,1.0706035514305237,1.0,6.6667,5.0
0.15,0.75,50,1,0.15,0.2,469664614.0,469664614.0,476622627.0,1.0,1.01481485466989,6.6667,5.0
0.15,0.75,100,0,0.0,0.0,937049196.0,1025646541.0,937049196.0,1.0945492994158654,1.0,6.6667,5.0
0.15,0.75,100,1,0.0,0.0,615947927.0,719664353.0,615947927.0,1.1683850557061781,1.0,6.6667,5.0
0.15,0.8,10,0,0.0,0.0,556796091.0,585768090.0,556796091.0,1.0520334094802402,1.0,6.6667,5.3334
0.15,0.8,10,1,0.15,0.1875,293993584.0,293993584.0,366694557.0,1.0,1.2472876176780783,6.6667,5.3334
0.15,0.8,50,0,0.0,0.0,726839731.0,785768090.0,726839731.0,1.0810747630965705,1.0,6.6667,5.3334
0.15,0.8,50,1,0.0,0.0,478154797.0,493993063.0,478154797.0,1.0331237208104387,1.0,6.6667,5.3334
0.15,0.8,100,0,0.0,0.0,939394281.0,1035768090.0,939394281.0,1.1025914367898946,1.0,6.6667,5.3334
0.15,0.8,100,1,0.0,0.0,617480097.0,743992743.0,617480097.0,1.204885382726757,1.0,6.6667,5.3334
0.15,0.85,10,0,0.0,0.0,559129743.0,596042499.0,559129743.0,1.066018230047905,1.0,6.6667,5.6667
0.15,0.85,10,1,0.15,0.1765,318987623.0,318987623.0,368223640.0,1.0,1.1543508695947116,6.6667,5.6667
0.15,0.85,50,0,0.0,0.0,729173383.0,796042419.0,729173383.0,1.0917052618197391,1.0,6.6667,5.6667
0.15,0.85,50,1,0.0,0.0,479683880.0,518986865.0,479683880.0,1.0819351798938919,1.0,6.6667,5.6667
0.15,0.85,100,0,0.0,0.0,941727933.0,1046042319.0,941727933.0,1.1107691322988504,1.0,6.6667,5.6667
0.15,0.85,100,1,0.0,0.0,619009180.0,768986368.0,619009180.0,1.242285886616415,1.0,6.6667,5.6667
0.15,0.9,10,0,0.0,0.0,561473357.0,605529398.0,561473357.0,1.0784650606315414,1.0,6.6667,6.0
